Freq,Impedance
1,10.57
2,620.9
3,1225.86
4,2823.18
5,4516.65
6,4003.39
7,3371.94
8,4123.35
9,4060.42
10,3612.99
11,3335.47
12,3451.26
13,3190.09
14,3065.9
15,2909.67
16,2899.8
17,2701.06
18,2634.97
19,2645.95
20,2430.63
21,2379.53
22,2287.46
23,2241.08
24,2096.42
25,2076.95
26,2014.09
27,1992.46
28,1815.97
29,1824.62
30,1774.86
31,1700.52
32,1659.43
33,1606.34
34,1703.7
35,1658.4
36,1564.24
37,1625.38
38,1606.34
39,1694.29
40,1824.62
41,1846.14
42,1851.64
43,1714.72
44,1648.56
45,1599.38
46,1510.47
47,1465.22
48,1408.83
49,1384.13
50,1342.31
51,1298.13
52,1261.17
53,1265.56
54,1192.35
55,1164.03
56,1099.13
57,1103.24
58,1093.84
59,1037.36
60,1025.06
61,995.18
62,967.84
63,952.79
64,931.99
65,916.43
66,893.24
67,878.44
68,861.72
69,844.17
70,839.48
71,816.26
72,804.97
73,789.78
74,772.47
75,771.98
76,747.3
77,734.5
78,718.25
79,708.46
80,695.15
81,678.05
82,667.46
83,662.5
84,648.73
85,637.07
86,630.65
87,610.31
88,604.07
89,592.31
90,581.67
91,577.08
92,563.84
93,549.63
94,548.58
95,547.05
96,531.85
97,522.99
98,513.65
99,506.02
100,503.25
