Freq,Impedance
1,10.57
2,612.98
3,1180.51
4,2514.11
5,3806.91
6,3189.56
7,2981.73
8,3417.32
9,3566.04
10,3077.11
11,2688.44
12,2833.02
13,2768.26
14,2524.42
15,2387.16
16,2328.06
17,2232.78
18,2070.2
19,2091.54
20,1939.93
21,1814.43
22,1763.97
23,1725.63
24,1639.89
25,1618.84
26,1564.18
27,1550.61
28,1433.06
29,1415.19
30,1400.97
31,1403.64
32,1321.41
33,1288.65
34,1302.1
35,1302.1
36,1190.28
37,1251.05
38,1191.26
39,1184.91
40,1163.27
41,1168.5
42,1142.53
43,1126.64
44,1077.19
45,1063.96
46,1033.23
47,1012.52
48,984.01
49,976.55
50,936.28
51,936.41
52,889.48
53,896.0
54,858.93
55,838.65
56,819.29
57,814.08
58,795.79
59,783.31
60,768.81
61,756.76
62,745.37
63,728.09
64,725.58
65,722.69
66,700.85
67,696.95
68,696.59
69,691.11
70,675.77
71,664.6
72,654.34
73,643.7
74,641.8
75,630.55
76,620.82
77,599.71
78,589.15
79,588.62
80,574.61
81,570.04
82,559.11
83,557.01
84,539.45
85,529.44
86,518.87
87,510.12
88,503.91
89,495.29
90,492.2
91,489.84
92,478.58
93,472.84
94,470.0
95,464.37
96,455.66
97,447.59
98,446.42
99,446.38
100,441.82
