Freq,Impedance
1,10.56
2,611.85
3,1202.28
4,2694.41
5,4629.1
6,3986.95
7,3430.25
8,5102.03
9,5102.03
10,4149.58
11,4027.39
12,4272.25
13,4019.0
14,3591.89
15,3374.41
16,3309.47
17,3151.06
18,2960.18
19,2980.88
20,2915.65
21,2694.73
22,2792.86
23,2642.97
24,2476.8
25,2398.87
26,2343.04
27,2272.19
28,2135.34
29,2094.05
30,2039.85
31,2017.26
32,1894.85
33,1937.46
34,1910.95
35,1820.72
36,1686.51
37,1714.72
38,1653.2
39,1632.34
40,1528.44
41,1528.44
42,1523.75
43,1440.32
44,1366.65
45,1414.5
46,1342.31
47,1325.59
48,1253.33
49,1249.0
50,1232.78
51,1217.96
52,1144.7
53,1090.88
54,1087.26
55,1060.56
56,1032.09
57,1020.92
58,976.32
59,958.13
60,934.57
61,904.72
62,902.14
63,893.24
64,874.81
65,863.87
66,835.33
67,824.43
68,805.05
69,786.35
70,777.25
71,768.85
72,755.9
73,736.49
74,729.46
75,713.85
76,698.42
77,687.31
78,674.8
79,655.23
80,645.23
81,635.46
82,621.23
83,618.13
84,597.25
85,580.33
86,572.13
87,556.29
88,549.76
89,539.51
90,529.74
91,523.63
92,510.12
93,506.14
94,494.52
95,492.57
96,486.76
97,480.7
98,468.03
99,464.27
100,456.51
