Freq,Impedance
1,10.56
2,607.89
3,1179.48
4,2576.81
5,4092.07
6,3828.43
7,3453.25
8,4578.79
9,4839.2
10,4123.35
11,3680.98
12,3861.4
13,3817.63
14,3606.17
15,3328.32
16,3202.19
17,3148.54
18,3075.7
19,2853.02
20,2624.42
21,2498.89
22,2517.45
23,2498.89
24,2432.95
25,2267.1
26,2227.6
27,2276.17
28,2047.69
29,1972.37
30,1997.06
31,1936.29
32,1799.13
33,1808.21
34,1808.21
35,1729.78
36,1702.42
37,1632.55
38,1575.97
39,1552.47
40,1501.39
41,1494.19
42,1497.31
43,1501.39
44,1345.48
45,1350.53
46,1301.42
47,1301.42
48,1230.76
49,1230.76
50,1200.49
51,1184.91
52,1158.95
53,1140.23
54,1116.19
55,1076.47
56,1034.38
57,1030.77
58,987.64
59,955.05
60,937.68
61,930.03
62,910.79
63,907.94
64,860.86
65,849.22
66,848.66
67,828.71
68,818.41
69,798.82
70,788.73
71,767.68
72,754.21
73,745.37
74,741.35
75,730.38
76,713.72
77,695.85
78,687.99
79,673.03
80,667.32
81,663.62
82,647.67
83,631.1
84,617.48
85,608.21
86,601.22
87,585.61
88,581.97
89,561.64
90,564.58
91,563.47
92,546.25
93,535.8
94,523.58
95,521.38
96,510.48
97,503.42
98,493.54
99,491.67
100,479.93
