Freq,Impedance
1,10.56
2,613.2
3,1201.08
4,2719.34
5,4493.08
6,4235.05
7,3953.67
8,5679.28
9,5858.64
10,5315.94
11,4635.51
12,5718.05
13,5742.31
14,4960.48
15,4625.91
16,4173.97
17,4123.35
18,4123.35
19,3862.33
20,3511.77
21,3483.5
22,3524.4
23,3387.49
24,3200.6
25,3075.7
26,2915.65
27,2672.0
28,2574.34
29,2589.31
30,2539.85
31,2477.05
32,2372.4
33,2315.95
34,2263.54
35,2211.56
36,2151.2
37,2139.12
38,2062.1
39,1987.25
40,1837.68
41,1875.1
42,1830.03
43,1742.77
44,1631.99
45,1618.23
46,1519.15
47,1502.04
48,1452.81
49,1440.9
50,1405.83
51,1343.67
52,1315.21
53,1262.21
54,1229.53
55,1200.41
56,1155.03
57,1144.77
58,1091.07
59,1055.92
60,1033.8
61,1006.9
62,989.28
63,955.47
64,946.04
65,944.04
66,909.72
67,890.81
68,882.4
69,855.7
70,843.4
71,823.73
72,808.94
73,801.71
74,791.25
75,774.6
76,763.87
77,744.41
78,736.71
79,715.68
80,704.8
81,694.02
82,673.56
83,664.93
84,653.03
85,641.74
86,632.06
87,615.09
88,607.59
89,597.35
90,588.79
91,585.78
92,569.26
93,555.12
94,553.14
95,548.54
96,535.29
97,532.28
98,519.24
99,511.47
100,506.74
