Freq,Impedance
1,10.57
2,621.14
3,1218.74
4,2657.97
5,3910.57
6,3734.36
7,3202.19
8,4235.05
9,4528.58
10,3814.94
11,3376.27
12,3861.4
13,3514.56
14,3336.07
15,3125.16
16,3027.62
17,2934.19
18,2793.21
19,2640.59
20,2540.38
21,2490.63
22,2432.95
23,2369.82
24,2342.01
25,2220.68
26,2182.51
27,2116.76
28,1927.23
29,1918.07
30,1877.65
31,1867.91
32,1773.96
33,1735.23
34,1679.82
35,1671.33
36,1589.77
37,1566.96
38,1446.72
39,1456.63
40,1411.36
41,1380.68
42,1362.88
43,1264.68
44,1220.99
45,1195.53
46,1173.57
47,1141.23
48,1091.49
49,1094.71
50,1053.05
51,991.42
52,941.61
53,906.78
54,899.98
55,868.07
56,852.95
57,834.34
58,808.02
59,785.26
60,774.34
61,762.27
62,748.96
63,724.93
64,721.7
65,705.63
66,694.45
67,683.76
68,669.23
69,654.34
70,645.17
71,636.34
72,623.9
73,609.52
74,598.38
75,590.12
76,575.44
77,566.68
78,556.8
79,548.45
80,539.12
81,528.89
82,517.9
83,512.54
84,499.18
85,492.07
86,478.71
87,472.93
88,465.56
89,458.37
90,449.73
91,445.23
92,439.21
93,432.47
94,423.8
95,424.86
96,412.66
97,407.45
98,406.53
99,401.21
100,395.46
