Freq,Impedance
1,10.57
2,614.21
3,1195.34
4,2580.41
5,4086.56
6,3453.25
7,3090.34
8,3706.97
9,3680.98
10,3362.09
11,2925.68
12,3089.86
13,2865.83
14,2716.43
15,2554.23
16,2520.28
17,2328.67
18,2195.53
19,2158.78
20,2019.24
21,1949.89
22,1865.4
23,1798.47
24,1719.86
25,1654.44
26,1614.15
27,1569.14
28,1457.82
29,1441.62
30,1404.71
31,1370.78
32,1351.24
33,1305.1
34,1293.4
35,1277.12
36,1183.3
37,1199.82
38,1153.99
39,1145.06
40,1093.84
41,1088.05
42,1067.67
43,1047.01
44,975.35
45,973.5
46,930.35
47,919.53
48,890.81
49,874.12
50,848.16
51,822.26
52,806.69
53,780.24
54,761.24
55,739.2
56,721.55
57,713.61
58,700.24
59,679.26
60,670.62
61,658.74
62,647.54
63,635.85
64,623.75
65,608.22
66,604.03
67,588.97
68,581.68
69,568.97
70,562.9
71,556.13
72,540.69
73,532.89
74,521.84
75,518.7
76,511.39
77,502.23
78,489.41
79,485.53
80,474.36
81,466.18
82,456.53
83,449.77
84,443.93
85,437.38
86,430.06
87,421.75
88,416.97
89,411.79
90,404.91
91,398.35
92,392.12
93,388.12
94,381.58
95,377.34
96,370.11
97,362.5
98,359.69
99,355.14
100,350.07
