Freq,Impedance
1,10.57
2,626.72
3,1257.57
4,3052.52
5,5820.14
6,4699.41
7,4136.97
8,6070.51
9,6769.97
10,5868.39
11,5030.79
12,5801.17
13,5512.75
14,4960.48
15,4578.79
16,4801.3
17,4420.34
18,4196.41
19,3741.94
20,3714.38
21,3511.77
22,3396.29
23,3351.73
24,3224.64
25,3089.86
26,2992.04
27,3040.22
28,2753.34
29,2714.81
30,2656.46
31,2549.95
32,2461.76
33,2358.53
34,2358.53
35,2237.82
36,2117.37
37,2129.09
38,2072.35
39,1978.08
40,1865.4
41,1889.39
42,1885.81
43,1723.89
44,1635.51
45,1681.58
46,1529.48
47,1512.58
48,1442.78
49,1406.36
50,1364.47
51,1311.99
52,1257.15
53,1199.16
54,1197.66
55,1168.22
56,1124.8
57,1096.64
58,1095.11
59,1027.73
60,1002.6
61,993.63
62,962.21
63,935.14
64,921.79
65,903.38
66,889.09
67,875.24
68,845.14
69,834.13
70,816.55
71,800.99
72,798.67
73,777.53
74,757.41
75,749.57
76,733.29
77,723.36
78,711.04
79,702.81
80,685.9
81,676.97
82,658.7
83,650.39
84,637.95
85,624.17
86,613.62
87,598.6
88,593.12
89,582.24
90,574.64
91,573.69
92,553.45
93,547.47
94,534.57
95,532.21
96,517.72
97,513.39
98,505.73
99,502.4
100,492.87
