Freq,Impedance
1,10.57
2,623.09
3,1212.75
4,2618.62
5,4381.88
6,3443.33
7,2983.87
8,3839.33
9,3895.24
10,3437.43
11,3213.36
12,3309.47
13,3249.79
14,2792.86
15,2833.39
16,2659.18
17,2439.7
18,2330.3
19,2401.54
20,2348.66
21,2275.22
22,2189.42
23,2205.14
24,2028.46
25,2052.97
26,2001.57
27,1757.81
28,1759.3
29,1793.15
30,1507.75
31,1553.26
32,1869.91
33,1696.1
34,1526.15
35,1400.22
36,1314.4
37,1523.75
38,1436.63
39,1252.82
40,1330.05
41,1390.76
42,1323.83
43,1239.38
44,1300.68
45,1251.05
46,1259.59
47,1257.41
48,1187.11
49,1215.52
50,1227.14
51,1162.89
52,1145.06
53,978.58
54,1079.78
55,1042.67
56,1011.94
57,988.53
58,957.76
59,933.67
60,922.01
61,897.03
62,876.93
63,848.72
64,843.12
65,830.21
66,813.17
67,796.86
68,781.03
69,769.56
70,757.63
71,739.89
72,729.09
73,713.15
74,675.94
75,660.11
76,683.99
77,664.94
78,656.38
79,638.62
80,631.28
81,622.01
82,604.29
83,599.98
84,586.07
85,573.94
86,559.57
87,549.92
88,543.87
89,535.52
90,527.31
91,525.54
92,511.63
93,497.97
94,491.17
95,486.29
96,473.38
97,466.52
98,461.54
99,454.29
100,450.4
