Freq,Impedance
1,10.57
2,620.66
3,1212.75
4,2657.97
5,3910.57
6,3662.63
7,3089.86
8,3785.75
9,3737.72
10,3491.7
11,3140.52
12,3336.07
13,3176.05
14,2962.27
15,2730.42
16,2811.65
17,2524.42
18,2516.16
19,2395.32
20,2261.3
21,2151.2
22,2106.29
23,1998.99
24,1901.02
25,1840.39
26,1779.65
27,1710.91
28,1627.6
29,1597.34
30,1577.74
31,1510.47
32,1422.6
33,1432.49
34,1428.53
35,1412.82
36,1295.18
37,1301.25
38,1271.18
39,1261.76
40,1209.43
41,1206.81
42,1184.45
43,1153.99
44,1059.81
45,1057.75
46,1021.97
47,1007.75
48,987.39
49,953.39
50,937.8
51,900.67
52,874.6
53,864.56
54,835.67
55,808.02
56,784.93
57,774.49
58,751.62
59,731.7
60,721.54
61,711.04
62,693.45
63,677.37
64,676.97
65,655.0
66,650.81
67,637.95
68,630.11
69,615.83
70,607.1
71,594.81
72,592.31
73,581.27
74,565.88
75,562.09
76,554.71
77,541.54
78,530.02
79,522.19
80,512.47
81,505.99
82,481.33
83,485.72
84,474.03
85,466.94
86,450.26
87,441.41
88,434.9
89,428.17
90,423.43
91,419.86
92,412.31
93,409.16
94,403.25
95,394.89
96,388.08
97,385.82
98,377.89
99,376.19
100,369.26
