Freq,Impedance
1,10.57
2,616.1
3,1195.34
4,2539.85
5,3999.27
6,3321.21
7,2839.64
8,3535.74
9,3665.8
10,3362.09
11,2895.88
12,3058.96
13,2954.76
14,2627.05
15,2531.97
16,2395.32
17,2353.47
18,2231.89
19,2101.64
20,2040.4
21,1921.38
22,1900.13
23,1806.49
24,1757.54
25,1668.93
26,1620.42
27,1520.73
28,1473.19
29,1446.18
30,1410.23
31,1370.78
32,1327.02
33,1296.83
34,1294.48
35,1260.11
36,1202.5
37,1211.17
38,1143.68
39,1148.88
40,1075.5
41,1070.96
42,1069.91
43,1012.65
44,968.01
45,974.5
46,930.35
47,917.05
48,874.88
49,868.19
50,843.12
51,822.26
52,800.47
53,766.85
54,761.47
55,745.4
56,726.57
57,712.01
58,688.84
59,678.54
60,669.18
61,659.36
62,648.94
63,629.99
64,621.97
65,612.87
66,598.98
67,590.84
68,581.95
69,574.87
70,567.04
71,556.29
72,542.05
73,531.9
74,523.18
75,519.98
76,505.25
77,499.22
78,493.28
79,479.91
80,470.67
81,464.44
82,454.86
83,448.15
84,439.86
85,431.92
86,424.35
87,418.65
88,413.91
89,405.25
90,399.97
91,400.31
92,389.83
93,383.61
94,379.6
95,377.14
96,370.96
97,362.47
98,358.84
99,354.06
100,349.24
