Freq,Impedance
1,10.57
2,626.17
3,1264.87
4,3075.7
5,5757.62
6,4960.48
7,3968.7
8,7629.88
9,7658.67
10,6519.58
11,5335.41
12,6909.15
13,6710.76
14,5820.14
15,5299.07
16,5855.4
17,5254.1
18,5043.14
19,4337.81
20,4452.7
21,4123.35
22,3839.33
23,3895.24
24,3734.36
25,3616.79
26,3524.4
27,3351.73
28,3048.86
29,3109.54
30,2992.04
31,2992.04
32,2725.84
33,2839.64
34,2703.92
35,2612.85
36,2425.78
37,2520.28
38,2307.99
39,2301.48
40,2101.64
41,2125.52
42,2142.44
43,1959.64
44,1887.98
45,1855.75
46,1713.75
47,1719.21
48,1604.74
49,1590.87
50,1513.48
51,1450.29
52,1385.59
53,1368.13
54,1332.48
55,1271.65
56,1213.44
57,1212.75
58,1166.65
59,1127.27
60,1104.17
61,1091.38
62,1047.01
63,1027.15
64,998.77
65,972.25
66,972.25
67,950.6
68,931.12
69,918.13
70,889.12
71,886.98
72,872.32
73,846.74
74,844.67
75,816.47
76,794.98
77,783.85
78,772.52
79,754.29
80,741.08
81,723.23
82,710.73
83,702.35
84,675.32
85,670.56
86,664.6
87,646.73
88,633.39
89,625.82
90,613.52
91,610.73
92,594.05
93,587.21
94,576.59
95,572.64
96,557.26
97,547.28
98,536.8
99,527.55
100,519.66
