Freq,Impedance
1,10.57
2,627.25
3,1257.57
4,2983.87
5,5299.07
6,4982.26
7,3797.17
8,5501.98
9,6255.25
10,5251.76
11,4745.22
12,5782.39
13,5395.14
14,4641.94
15,4929.31
16,4923.52
17,4625.91
18,4052.89
19,3809.58
20,3776.17
21,3541.45
22,3646.9
23,3514.56
24,3302.48
25,3279.5
26,2967.31
27,2667.4
28,2628.8
29,2644.46
30,2529.62
31,2529.62
32,2508.75
33,2540.38
34,2768.26
35,2548.61
36,2328.06
37,2312.95
38,2382.79
39,2198.26
40,2116.15
41,2116.15
42,2138.64
43,2029.0
44,1875.1
45,1901.02
46,1773.96
47,1773.96
48,1690.46
49,1634.31
50,1574.27
51,1514.65
52,1453.4
53,1367.64
54,1348.78
55,1321.48
56,1274.67
57,1273.57
58,1228.48
59,1211.37
60,1174.59
61,1131.28
62,1126.16
63,1102.46
64,1078.91
65,1047.77
66,1043.79
67,1025.77
68,1011.27
69,987.64
70,953.62
71,943.47
72,927.91
73,915.5
74,911.68
75,891.41
76,881.18
77,860.92
78,850.26
79,833.25
80,820.54
81,796.09
82,780.45
83,780.45
84,761.72
85,745.83
86,741.35
87,709.58
88,705.47
89,691.46
90,687.49
91,675.73
92,660.44
93,652.64
94,637.82
95,635.42
96,618.91
97,610.64
98,608.67
99,597.91
100,588.23
