Freq,Impedance
1,10.57
2,622.06
3,1259.08
4,2943.6
5,5462.16
6,4982.26
7,4653.27
8,6287.04
9,7998.53
10,6696.19
11,5328.08
12,6962.92
13,6251.31
14,5624.02
15,5501.98
16,4803.08
17,4982.26
18,4745.22
19,4717.91
20,4175.14
21,4369.73
22,4019.0
23,3976.78
24,3858.62
25,3802.47
26,3603.9
27,3707.79
28,3207.49
29,3175.54
30,3082.76
31,3082.76
32,2886.14
33,2810.22
34,2934.19
35,2909.67
36,2580.41
37,2571.32
38,2580.41
39,2456.97
40,2370.68
41,2339.53
42,2312.95
43,2261.3
44,2073.06
45,2008.32
46,1929.31
47,1891.02
48,1808.21
49,1779.65
50,1706.09
51,1622.62
52,1586.67
53,1499.43
54,1483.97
55,1408.83
56,1384.13
57,1349.69
58,1322.97
59,1275.88
60,1232.78
61,1203.43
62,1191.4
63,1180.48
64,1132.4
65,1119.79
66,1101.97
67,1087.42
68,1069.16
69,1051.4
70,1022.43
71,1007.51
72,977.49
73,966.79
74,939.92
75,950.95
76,924.49
77,897.97
78,870.74
79,865.67
80,848.04
81,835.03
82,813.24
83,808.54
84,790.51
85,773.58
86,748.06
87,739.2
88,730.38
89,719.68
90,711.01
91,700.5
92,682.64
93,673.03
94,659.84
95,650.44
96,637.95
97,631.16
98,618.49
99,617.17
100,602.74
