Freq,Impedance
1,10.57
2,635.98
3,1301.64
4,3409.63
5,7838.54
6,6323.39
7,6059.72
8,11253.77
9,15755.28
10,14578.23
11,10238.47
12,30209.37
13,35229.87
14,17109.14
15,15755.28
16,27509.91
17,24195.98
18,18671.8
19,15104.69
20,34545.73
21,19572.16
22,17885.26
23,19694.1
24,13129.4
25,15049.46
26,14240.83
27,17109.14
28,13510.04
29,12550.12
30,11640.28
31,9726.22
32,9726.22
33,8763.76
34,8840.68
35,8436.03
36,7594.34
37,7933.37
38,6542.02
39,6315.26
40,5410.39
41,5187.6
42,5254.1
43,4677.81
44,3938.82
45,4123.35
46,3592.64
47,3300.74
48,3160.68
49,3075.7
50,2974.07
51,2761.45
52,2562.87
53,2461.28
54,2423.26
55,2215.41
56,2067.2
57,2067.2
58,1978.08
59,1871.28
60,1853.79
61,1797.35
62,1761.41
63,1661.71
64,1630.73
65,1600.3
66,1584.62
67,1543.03
68,1543.69
69,1513.98
70,1488.47
71,1446.13
72,1425.34
73,1424.18
74,1365.54
75,1344.85
76,1309.71
77,1299.83
78,1275.51
79,1230.28
80,1211.94
81,1182.74
82,1165.63
83,1120.72
84,1083.43
85,1071.02
86,1064.37
87,1023.21
88,985.68
89,967.02
90,958.17
91,979.44
92,915.94
93,889.04
94,896.47
95,880.37
96,870.19
97,864.37
98,855.92
99,821.57
100,807.0
