Freq,Impedance
1,10.57
2,637.4
3,1299.83
4,3355.38
5,6872.24
6,6672.13
7,5470.06
8,11323.31
9,22553.62
10,11276.81
11,9956.55
12,27509.91
13,41518.81
14,19106.08
15,14430.72
16,19694.1
17,24911.29
18,18671.8
19,12950.76
20,48855.05
21,24427.53
22,22553.62
23,20759.41
24,16285.02
25,15569.55
26,16570.74
27,18671.8
28,15755.28
29,15104.69
30,12679.51
31,10069.79
32,10641.57
33,10069.79
34,9072.15
35,9157.57
36,7410.66
37,8752.93
38,6453.61
39,6542.02
40,6151.4
41,5703.05
42,5520.87
43,4260.99
44,4516.65
45,3938.82
46,3705.33
47,3511.77
48,3351.73
49,3271.01
50,3058.96
51,2962.27
52,2677.55
53,2396.65
54,2373.47
55,2327.24
56,2122.9
57,2128.31
58,2059.98
59,1902.79
60,1858.84
61,1794.64
62,1770.28
63,1703.7
64,1624.07
65,1615.44
66,1584.62
67,1543.03
68,1518.02
69,1492.79
70,1443.8
71,1443.8
72,1397.31
73,1361.41
74,1350.17
75,1350.17
76,1289.34
77,1265.72
78,1244.29
79,1214.82
80,1194.29
81,1178.58
82,1138.06
83,1106.98
84,1098.66
85,1067.73
86,1032.52
87,1016.42
88,1010.93
89,961.65
90,959.12
91,966.96
92,927.09
93,902.14
94,904.52
95,899.24
96,871.42
97,859.93
98,848.55
99,844.3
100,817.08
