Number,Value
1,28
2,28
3,28
4,28
5,25
6,24
7,23
8,23
9,23
10,23
11,22
12,21
13,21
14,24
15,25
16,25
17,24
18,25
19,25
20,25
21,25
22,25
23,26
24,26
25,26
26,26
27,26
28,26
29,26
30,26
31,28
32,29
33,29
34,30
35,30
36,30
37,31
38,32
39,32
40,30
41,30
42,30
43,29
44,29
45,29
46,29
47,29
48,29
49,29
50,29
51,28
52,28
53,28
54,28
55,25
56,24
57,23
58,23
59,22
60,22
61,22
62,21
63,21
64,23
65,24
66,24
67,24
68,24
69,24
70,24
71,24
72,25
73,26
74,26
75,26
76,26
77,26
78,26
79,26
80,26
81,28
82,30
83,30
84,30
85,31
86,31
87,31
88,32
89,32
90,30
91,29
92,29
93,29
94,29
95,29
96,29
97,29
98,28
99,28
100,28
101,28
102,28
103,28
104,28
105,24
106,23
107,23
108,22
109,22
110,22
111,21
112,21
113,21
114,24
115,25
116,25
117,25
118,25
119,25
120,26
121,26
122,26
123,26
124,27
125,27
126,27
127,27
128,26
129,26
130,26
131,28
132,30
133,30
134,31
135,31
136,31
137,32
138,33
139,33
140,31
141,29
142,30
143,30
144,30
145,29
146,29
147,29
148,29
149,29
150,29
151,28
152,29
153,28
154,29
155,25
156,24
157,24
158,23
159,23
160,22
161,22
162,22
163,21
164,24
165,25
166,25
167,25
168,25
169,25
170,25
171,25
172,26
173,26
174,26
175,27
176,27
177,27
178,27
179,27
180,27
181,29
182,30
183,31
184,31
185,31
186,32
187,33
188,33
189,33
190,31
191,30
192,30
193,30
194,29
195,29
196,29
197,29
198,28
199,28
200,28
201,28
202,28
203,28
204,28
205,25
206,24
207,24
208,23
209,23
210,23
211,22
212,22
213,22
214,25
215,25
216,25
217,26
218,26
219,26
220,26
221,26
222,26
223,26
224,27
225,27
226,27
227,27
228,27
229,27
230,27
231,30
232,31
233,31
234,32
235,48
236,37
237,29
238,30
239,29
240,27
241,29
242,30
243,28
244,28
245,28
246,28
247,28
248,27
249,28
250,24
251,23
252,21
253,20
254,20
255,19
256,19
257,19
258,18
259,21
260,23
261,24
262,25
263,25
264,25
265,26
266,26
267,26
268,26
269,26
270,26
271,26
272,26
273,25
274,25
275,25
276,28
277,29
278,30
279,30
280,30
281,31
282,31
283,31
284,31
285,29
286,28
287,28
288,28
289,29
290,29
291,29
292,29
293,29
294,29
295,28
296,28
297,28
298,27
299,27
300,24
301,23
302,22
303,21
304,21
305,21
306,21
307,20
308,20
309,23
310,24
311,24
312,25
313,25
314,25
315,24
316,24
317,23
318,23
319,23
320,23
321,23
322,23
323,24
324,25
325,25
326,29
327,31
328,32
329,32
330,33
331,33
332,33
333,34
334,34
335,31
336,30
337,29
338,29
339,29
340,29
341,29
342,29
343,30
344,29
345,29
346,29
347,29
348,29
349,29
350,25
351,23
352,22
353,21
354,21
355,20
356,20
357,20
358,20
359,23
360,24
361,24
362,25
363,25
364,25
365,25
366,24
367,24
368,24
369,24
370,24
371,25
372,24
373,24
374,25
375,26
376,30
377,31
378,31
379,32
380,32
381,32
382,33
383,32
384,33
385,30
386,29
387,29
388,29
389,29
390,29
391,30
392,30
393,30
394,30
395,29
396,29
397,29
398,29
399,28
400,24
401,22
402,21
403,21
404,21
405,21
406,21
407,20
408,21
409,24
410,24
411,25
412,25
413,25
414,25
415,25
416,24
417,24
418,24
419,24
420,24
421,25
422,25
423,25
424,26
425,26
426,29
427,31
428,31
429,32
430,32
431,32
432,33
433,33
434,33
435,30
436,29
437,29
438,29
439,29
440,28
441,29
442,30
443,30
444,30
445,30
446,30
447,30
448,30
449,30
450,26
451,23
452,23
453,22
454,22
455,22
456,21
457,21
458,21
459,24
460,25
461,25
462,25
463,25
464,25
465,25
466,24
467,24
468,24
469,24
470,24
471,25
472,25
473,25
474,25
475,25
476,25
477,25
478,25
479,24
480,24
481,24
482,24
483,24
484,24
485,22
486,21
487,20
488,20
489,21
490,21
491,25
492,26
493,26
494,26
495,28
496,29
497,27
498,28
499,24
500,24
501,24
502,24
503,24
504,21
505,22
506,21
507,20
508,20
509,19
510,19
511,18
512,18
513,21
514,22
515,23
516,24
517,24
518,24
519,24
520,24
521,24
522,24
523,24
524,24
525,24
526,23
527,24
528,23
529,24
530,27
531,29
532,30
533,30
534,31
535,32
536,32
537,33
538,33
539,30
540,29
541,27
542,27
543,26
544,27
545,27
546,27
547,27
548,27
549,27
550,27
551,28
552,28
553,27
554,24
555,22
556,21
557,20
558,19
559,19
560,18
561,17
562,17
563,21
564,22
565,23
566,23
567,24
568,24
569,25
570,25
571,25
572,25
573,25
574,25
575,25
576,25
577,25
578,25
579,26
580,29
581,31
582,32
583,32
