Number,Value
1,25
2,24
3,24
4,24
5,24
6,25
7,23
8,23
9,23
10,23
11,23
12,24
13,24
14,24
15,24
16,25
17,26
18,27
19,30
20,30
21,31
22,31
23,31
24,32
25,32
26,32
27,32
28,30
29,29
30,29
31,28
32,27
33,26
34,26
35,26
36,26
37,26
38,26
39,26
40,26
41,27
42,28
43,28
44,28
45,28
46,28
47,28
48,27
49,27
50,26
51,27
52,27
53,27
54,27
55,27
56,27
57,27
58,28
59,28
60,26
61,27
62,27
63,26
64,26
65,26
66,26
67,23
68,21
69,21
70,20
71,19
72,19
73,18
74,18
75,18
76,22
77,23
78,24
79,24
80,25
81,25
82,25
83,24
84,24
85,24
86,24
87,23
88,23
89,23
90,23
91,24
92,24
93,25
94,24
95,25
96,25
97,26
98,26
99,27
100,26
101,26
102,26
103,26
104,26
105,26
106,26
107,25
108,24
109,25
110,25
111,25
112,25
113,24
114,29
115,25
116,25
117,26
118,26
119,27
120,26
121,26
122,27
123,27
124,27
125,27
126,26
127,27
128,27
129,27
130,27
131,29
132,30
133,31
134,32
135,32
136,32
137,33
138,33
139,33
140,30
141,29
142,29
143,28
144,28
145,28
146,29
147,29
148,29
149,28
150,28
151,29
152,28
153,28
154,28
155,27
156,27
157,27
158,28
159,28
160,28
161,28
162,28
163,28
164,28
165,28
166,28
167,28
168,28
169,27
170,27
171,28
172,27
173,27
174,28
175,28
176,28
177,28
178,29
179,26
180,23
181,23
182,22
183,21
184,21
185,20
186,20
187,19
188,22
189,23
190,24
191,24
192,24
193,24
194,25
195,25
196,26
197,26
198,26
199,27
200,27
201,27
202,26
203,26
204,26
205,25
206,25
207,25
208,24
209,24
210,24
211,25
212,25
213,26
214,25
215,25
216,25
217,25
218,25
219,25
220,25
221,25
222,25
223,25
224,25
225,26
226,26
227,26
228,27
229,27
230,26
231,30
232,31
233,32
234,32
235,32
236,32
237,32
238,32
239,32
240,29
241,28
242,28
243,28
244,28
245,28
246,29
247,28
248,28
249,28
250,27
251,28
252,27
253,27
254,27
255,27
256,28
257,28
258,27
259,28
260,28
261,28
262,28
263,28
264,29
265,28
266,28
267,28
268,28
269,28
270,27
271,28
272,27
273,27
274,28
275,27
276,28
277,28
278,28
279,25
280,23
281,22
282,21
283,20
284,20
285,19
286,19
287,18
288,21
289,23
290,24
291,24
292,24
293,25
294,25
295,25
296,26
297,26
298,26
299,26
300,27
301,27
302,26
303,26
304,26
305,25
306,26
307,25
308,25
309,24
310,25
311,25
312,26
313,26
314,26
315,25
316,26
317,25
318,25
319,25
320,25
321,25
322,25
323,25
324,25
325,25
326,26
327,26
328,26
329,26
330,25
331,29
332,30
333,30
334,31
335,30
336,31
337,31
338,32
339,32
340,29
341,29
342,28
343,28
344,28
345,29
346,29
347,28
348,28
349,28
350,27
351,29
352,29
353,28
354,28
355,27
356,28
357,28
358,28
359,29
360,27
361,28
362,28
363,28
364,28
365,28
366,28
367,28
368,28
369,27
370,28
371,27
372,19
373,20
374,26
375,24
376,23
377,22
378,23
379,23
380,23
381,23
382,23
383,23
384,23
385,24
386,26
387,26
388,26
389,26
390,26
391,27
392,27
393,27
394,27
395,27
396,27
397,26
398,27
399,28
400,26
401,25
402,26
403,26
404,27
405,27
406,28
407,27
408,26
409,31
410,33
411,33
412,33
413,32
414,33
415,32
416,33
417,33
418,29
419,28
420,28
421,28
422,27
423,27
424,28
425,27
426,27
427,27
428,27
429,27
430,27
431,28
432,27
433,27
434,28
435,28
436,28
437,28
438,28
439,28
440,28
441,29
442,29
443,29
444,29
445,28
446,28
447,27
448,27
449,27
450,27
451,27
452,26
453,26
454,27
455,27
456,27
457,24
458,22
459,21
460,20
461,20
462,19
463,19
464,19
465,20
466,24
467,25
468,26
469,26
470,26
471,26
472,25
473,25
474,25
475,24
476,24
477,23
478,23
479,23
480,24
481,25
482,25
483,25
484,25
485,25
486,26
487,25
488,25
489,25
490,25
491,26
492,26
493,26
494,26
495,27
496,26
497,26
498,26
499,26
500,25
501,25
502,25
503,25
504,25
505,25
506,25
507,25
508,25
509,29
510,31
511,31
512,32
513,32
514,32
515,33
516,33
517,33
518,30
519,29
520,29
521,28
522,27
523,27
524,27
525,27
526,27
527,27
528,27
529,27
530,28
531,28
532,28
533,29
534,29
535,29
536,28
537,28
538,29
539,29
540,28
541,28
542,27
543,27
544,27
545,27
546,27
547,26
548,26
549,27
550,27
551,27
552,27
553,27
554,27
555,27
556,27
557,24
558,22
559,21
560,21
561,20
562,20
563,20
564,19
565,19
566,22
567,23
568,24
569,24
570,24
571,23
572,23
573,23
574,24
575,24
576,24
577,24
578,25
579,25
580,26
581,26
582,26
583,27
584,27
585,27
586,27
587,26
588,27
589,27
590,27
591,26
592,26
593,26
594,26
595,26
596,25
597,25
598,25
599,24
600,25
601,25
602,25
603,25
604,25
605,26
606,26
607,26
608,26
609,29
610,31
611,31
612,32
613,32
614,32
615,33
616,34
617,34
618,31
619,30
620,30
621,28
622,28
623,28
624,29
625,19
626,26
627,24
628,11
629,18
630,23
631,22
632,21
633,22
634,23
635,23
636,23
637,23
638,23
639,24
640,24
641,24
642,24
643,24
644,25
645,25
646,25
647,25
648,25
649,25
650,25
651,25
652,25
653,25
654,25
655,26
656,25
657,26
658,26
659,26
660,26
661,26
662,26
663,26
664,26
665,25
666,25
667,25
668,25
669,26
670,25
671,25
672,26
673,26
674,26
675,30
676,32
677,33
678,33
679,34
680,34
